Log file created at: 2019/04/27 10:28:27
Running on machine: in_dev_docker
Log line format: [IWEF]mmdd hh:mm:ss.uuuuuu threadid file:line] msg
I0427 10:28:27.485291  2097 class_loader_utility.h:78]  registerclass:PlanningComponent,apollo::cyber::ComponentBase,/apollo/bazel-bin/modules/planning/libplanning_component.so
E0427 10:28:28.236635  2103 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:28.286798  2103 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:28.337005  2103 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:28.387159  2107 reference_line_provider.cc:193]  Routing is not ready.
I0427 10:28:28.402599  2104 planning_component.cc:61]  Received routing data: run routing callback.timestamp_sec: 1556332105.4534175
module_name: "routing"
sequence_num: 0
E0427 10:28:28.437340  2107 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:28.487553  2107 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:28.537776  2107 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:28.588007  2107 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:28.638214  2107 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:28.688436  2107 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:28.738684  2107 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:28.788935  2109 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:28.839161  2109 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:28.889370  2109 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:28.939574  2109 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:28.989748  2105 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:29.039960  2105 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:29.090173  2105 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:29.140399  2105 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:29.190629  2105 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:29.240836  2108 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:29.291030  2108 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:29.341235  2108 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:29.391408  2101 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:29.441596  2101 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:29.491796  2101 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:29.542001  2101 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:29.592214  2101 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:29.642396  2101 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:29.692559  2101 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:29.742767  2101 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:29.792953  2109 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:29.843152  2109 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:29.893378  2109 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:29.943619  2109 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:29.993820  2109 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:30.044016  2109 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:30.094210  2109 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:30.144417  2109 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:30.194583  2104 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:30.244731  2106 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:30.294896  2104 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:30.345062  2104 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:30.395318  2102 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:30.445503  2102 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:30.495698  2102 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:30.545886  2102 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:30.596096  2103 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:30.646288  2103 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:30.696494  2103 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:30.746654  2103 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:30.796818  2103 reference_line_provider.cc:193]  Routing is not ready.
