Log file created at: 2019/04/27 10:23:36
Running on machine: in_dev_docker
Log line format: [IWEF]mmdd hh:mm:ss.uuuuuu threadid file:line] msg
I0427 10:23:36.981840  1762 class_loader_utility.h:78]  registerclass:PlanningComponent,apollo::cyber::ComponentBase,/apollo/bazel-bin/modules/planning/libplanning_component.so
E0427 10:23:37.675786  1773 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:37.726013  1764 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:37.734949  1769 planning_component.cc:197]  routing not ready; skip the planning cycle.
E0427 10:23:37.735091  1769 planning_component.cc:136]  Input check failed
E0427 10:23:37.776187  1774 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:37.826419  1774 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:37.835158  1769 planning_component.cc:197]  routing not ready; skip the planning cycle.
E0427 10:23:37.835314  1769 planning_component.cc:136]  Input check failed
E0427 10:23:37.876674  1770 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:37.926854  1768 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:37.934939  1770 planning_component.cc:197]  routing not ready; skip the planning cycle.
E0427 10:23:37.935060  1770 planning_component.cc:136]  Input check failed
E0427 10:23:37.977036  1766 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:38.027207  1764 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:38.035022  1766 planning_component.cc:197]  routing not ready; skip the planning cycle.
E0427 10:23:38.035105  1766 planning_component.cc:136]  Input check failed
E0427 10:23:38.077462  1774 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:38.127631  1766 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:38.134963  1772 planning_component.cc:197]  routing not ready; skip the planning cycle.
E0427 10:23:38.135076  1772 planning_component.cc:136]  Input check failed
E0427 10:23:38.177816  1775 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:38.228101  1767 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:38.235150  1765 planning_component.cc:197]  routing not ready; skip the planning cycle.
E0427 10:23:38.235293  1765 planning_component.cc:136]  Input check failed
